,precip-accum_mm,temp_C
2005-06-01,60.5,21.226666666666667
2005-07-01,184.5,23.64516129032258
2005-08-01,213.0,26.274193548387096
2005-09-01,63.0,22.959999999999997
2005-10-01,196.0,17.206451612903226
2005-11-01,45.5,9.356666666666666
2005-12-01,1.0,2.3451612903225807
2006-01-01,53.5,2.064516129032258
2006-02-01,88.0,4.257142857142857
2006-03-01,66.0,7.706451612903226
2006-04-01,90.5,11.67
2006-05-01,107.5,17.225806451612904
2006-06-01,131.0,20.83
2006-07-01,257.0,23.770967741935483
2006-08-01,54.5,25.73548387096774
2006-09-01,211.5,21.826666666666664
2006-10-01,265.5,17.287096774193547
2006-11-01,111.5,11.596666666666666
2006-12-01,180.0,6.412903225806452
2007-01-01,31.5,4.458064516129032
2007-02-01,45.0,6.0321428571428575
2007-03-01,60.5,8.612903225806452
2007-04-01,111.0,11.93
2007-05-01,167.5,17.54516129032258
2007-06-01,48.0,21.44
2007-07-01,213.0,22.603225806451615
2007-08-01,21.0,27.080645161290324
2007-09-01,207.5,23.543333333333333
2007-10-01,133.0,16.40967741935484
2007-11-01,46.5,10.116666666666667
2007-12-01,53.0,5.367741935483871
2008-01-01,19.5,2.8129032258064517
2008-02-01,48.0,2.944827586206897
2008-03-01,78.0,8.183870967741935
2008-04-01,183.0,12.629999999999999
2008-05-01,170.0,16.648387096774194
2008-06-01,152.5,19.686666666666667
2008-07-01,18.5,24.980645161290322
2008-08-01,327.0,25.270967741935483
2008-09-01,118.0,22.146666666666665
2008-10-01,134.0,16.75483870967742
2008-11-01,62.5,10.316666666666666
2008-12-01,61.0,6.738709677419355
2009-01-01,117.5,3.9193548387096775
2009-02-01,42.0,5.196428571428571
2009-03-01,96.0,7.896774193548388
2009-04-01,127.5,13.629999999999999
2009-05-01,105.5,18.34193548387097
2009-06-01,160.5,20.623333333333335
2009-07-01,38.5,24.651612903225807
2009-08-01,176.0,24.483870967741936
2009-09-01,15.5,20.873333333333335
2009-10-01,226.0,16.551612903225806
2009-11-01,147.5,10.943333333333333
2009-12-01,83.5,5.951612903225806
2010-01-01,9.5,3.648387096774193
2010-02-01,96.5,4.189285714285714
2010-03-01,101.0,7.296774193548388
2010-04-01,169.0,10.703333333333335
2010-05-01,132.0,17.22258064516129
2010-06-01,95.0,21.8
2010-07-01,69.5,26.480645161290322
2010-08-01,5.0,28.22258064516129
2010-09-01,377.0,24.02962962962963
2010-10-01,157.0,17.029999999999998
2010-11-01,81.5,10.486666666666668
2010-12-01,102.0,6.806451612903226
2011-01-01,0.0,2.1129032258064515
2011-02-01,104.5,4.860714285714286
2011-03-01,74.0,5.84516129032258
2011-04-01,74.5,12.363333333333333
2011-05-01,210.0,16.743333333333332
2011-06-01,138.5,21.42
2011-07-01,184.0,25.86774193548387
2011-08-01,142.5,26.08709677419355
2011-09-01,186.0,23.546666666666667
2011-10-01,160.5,17.341379310344827
2011-11-01,79.0,11.586666666666668
2011-12-01,41.0,4.39
2012-01-01,36.5,1.703225806451613
2012-02-01,42.5,2.940740740740741
2012-03-01,127.5,6.951612903225806
2012-04-01,124.5,12.393333333333334
2012-05-01,228.5,17.67096774193548
2012-06-01,175.0,19.490000000000002
2012-07-01,112.5,24.996774193548386
2012-08-01,14.5,27.322580645161292
2012-09-01,193.5,24.2
2012-10-01,170.5,16.896774193548385
2012-11-01,92.0,9.47
2012-12-01,70.5,3.990322580645161
2013-01-01,49.0,2.4000000000000004
2013-02-01,31.5,3.5321428571428575
2013-03-01,45.0,9.980645161290322
2013-04-01,167.5,12.753333333333334
2013-05-01,81.5,17.299999999999997
2013-06-01,138.0,20.93
2013-07-01,45.5,24.94516129032258
2013-08-01,70.5,27.20967741935484
2013-09-01,175.0,22.91
2013-10-01,417.0,17.822580645161292
2013-11-01,16.0,9.813333333333333
2013-12-01,45.5,4.790322580645161
